net,length_um
clknet_0_clk,290.25
_0314_,260.52
_0470_,244.68
net8,244.18
_0480_,241.94
_0379_,241.46
_0450_,240.6
_0175_,239.7
_0430_,221.48
_0389_,219.82
_0399_,219.41
_0358_,211.22
_0219_,210.76
_0199_,208.34
_0206_,206.9
_0369_,204.52
_0348_,203.62
_0420_,203.145
net6,200.95
_0172_,199.335
_0205_,198.7
net2,193.38
_0337_,192.92
_0220_,192.2
_0212_,189.88
_0208_,187.87
net7,182.75
_0324_,180.04
_0209_,175.44
net1,173.94
_0320_,172.835
_0334_,170.64
_0410_,164.48
net22,164.41
_0223_,161.12
_0330_,160.6
net5,159.82
net4,157.86
_0322_,154.435
net3,149.53
_0332_,146.92
_0326_,145.84
clknet_4_0_0_clk,144.265
net23,141.435
clk,141.33
_0214_,132.49
_0213_,132.08
_0440_,124.995
_0460_,123.07
clknet_4_2_0_clk,122.92
_0315_,117.4
net19,115.88
clknet_4_1_0_clk,115.44
net11,115.28
clknet_4_5_0_clk,113.575
clknet_4_7_0_clk,113.24
net27,108.51
_0328_,106.79
net26,102.23
net18,101.18
net9,99.6
clknet_4_13_0_clk,98.78
clknet_4_14_0_clk,94
clknet_4_15_0_clk,92.96
net16,92.86
clknet_4_10_0_clk,92.465
net24,91.72
clknet_4_8_0_clk,90.74
_0211_,90.56
_0313_,86.22
net25,85.62
clknet_4_11_0_clk,82.46
clknet_4_4_0_clk,81.48
net163,81.38
_0243_,79.76
net164,79.76
_0190_,76.325
_0231_,74.96
head\[0\],74.64
_0261_,73.86
_0001_,72.19
net10,70.88
_0180_,69.35
_0196_,68.78
_0170_,68.62
net13,68.58
_0176_,68.38
clknet_4_6_0_clk,68.26
tail\[1\],66.28
_0183_,65.9
tail\[3\],65.6
_0279_,62.52
_0291_,61.96
_0249_,61.58
tail\[0\],61.4
_0191_,60.93
clknet_4_12_0_clk,60.88
_0304_,60.32
_0179_,59.27
clknet_4_3_0_clk,56.66
_0217_,54.245
clknet_4_9_0_clk,53.18
head\[2\],51.88
_0267_,51.72
net21,50.3
net165,49.74
_0256_,48.04
_0316_,47.46
net15,47.32
_0309_,46.94
net12,46.56
_0173_,45.78
net166,45.625
_0408_,43.4
_0192_,43.34
head\[1\],43.26
_0459_,43.18
_0299_,42.36
_0318_,40.905
head\[3\],40.7
_0317_,40.195
net20,38.16
_0292_,38.06
_0200_,36.9
net14,36.06
_0303_,35.94
_0251_,33.72
_0255_,31.56
fifo\[10\]\[6\],31.16
_0439_,30.76
_0367_,29.825
_0285_,29.08
_0346_,29.04
_0171_,28.78
fifo\[7\]\[2\],27.4
_0287_,27.06
_0178_,25.82
fifo\[5\]\[5\],25.16
_0297_,24.94
_0198_,24.48
fifo\[15\]\[3\],24.125
_0193_,23.96
_0281_,23.7
_0181_,23.5
fifo\[7\]\[0\],23.3
fifo\[12\]\[4\],22.46
_0203_,22.28
_0268_,21.88
_0266_,21.54
fifo\[14\]\[7\],21.02
fifo\[10\]\[7\],20.8
_0189_,20.3
fifo\[11\]\[6\],19.58
_0239_,18.92
fifo\[1\]\[6\],18.86
fifo\[7\]\[1\],18.64
_0259_,18.54
fifo\[5\]\[6\],18.36
fifo\[10\]\[0\],18.32
fifo\[2\]\[2\],18.32
_0449_,17.8
fifo\[15\]\[7\],17.665
tail\[2\],17.64
fifo\[14\]\[6\],17.4
fifo\[11\]\[7\],17.32
fifo\[6\]\[7\],17.085
fifo\[1\]\[0\],16.98
_0237_,16.96
fifo\[12\]\[6\],16.94
fifo\[2\]\[7\],16.9
fifo\[3\]\[1\],16.9
_0194_,16.82
fifo\[10\]\[4\],16.62
fifo\[1\]\[2\],16.2
fifo\[11\]\[2\],16.12
fifo\[5\]\[1\],16.1
_0202_,15.98
fifo\[1\]\[7\],15.92
fifo\[14\]\[4\],15.9
fifo\[3\]\[7\],15.9
fifo\[15\]\[0\],15.605
fifo\[5\]\[7\],15.58
_0283_,15.54
fifo\[7\]\[4\],15.48
fifo\[6\]\[6\],15.445
fifo\[4\]\[1\],15.44
fifo\[7\]\[6\],15.32
fifo\[14\]\[0\],15.3
fifo\[5\]\[4\],15.22
fifo\[15\]\[6\],15.06
_0244_,15.04
fifo\[14\]\[1\],15.02
fifo\[14\]\[2\],14.96
_0300_,14.82
data_out[1],14.82
_0419_,14.76
fifo\[4\]\[0\],14.74
_0233_,14.72
fifo\[12\]\[0\],14.68
_0084_,14.645
tail\[4\],14.56
fifo\[6\]\[4\],14.535
fifo\[15\]\[1\],14.48
fifo\[1\]\[1\],14.22
_0278_,14.08
fifo\[12\]\[7\],14.02
fifo\[1\]\[5\],13.96
_0201_,13.92
_0032_,13.74
fifo\[7\]\[3\],13.68
_0227_,13.66
net151,13.62
fifo\[2\]\[4\],13.6
fifo\[2\]\[5\],13.57
fifo\[13\]\[1\],13.54
fifo\[8\]\[3\],13.54
_0235_,13.46
_0384_,13.46
_0216_,13.44
_0395_,13.44
_0288_,13.28
fifo\[4\]\[7\],13.26
_0469_,13.2
fifo\[3\]\[3\],13.14
fifo\[15\]\[2\],13.105
_0210_,13.1
fifo\[5\]\[2\],13.04
fifo\[3\]\[4\],12.88
fifo\[3\]\[6\],12.88
data_in[1],12.84
fifo\[4\]\[3\],12.84
fifo\[8\]\[4\],12.7
fifo\[4\]\[6\],12.68
net65,12.68
empty,12.62
fifo\[5\]\[3\],12.58
_0145_,12.325
fifo\[10\]\[2\],12.26
fifo\[4\]\[4\],12.26
_0347_,12.24
_0302_,12.2
_0361_,12.18
fifo\[11\]\[0\],12
_0050_,11.965
_0225_,11.94
_0387_,11.94
fifo\[4\]\[2\],11.88
_0257_,11.86
fifo\[13\]\[6\],11.84
fifo\[1\]\[4\],11.76
_0232_,11.72
_0290_,11.68
fifo\[9\]\[6\],11.62
net80,11.6
fifo\[0\]\[2\],11.58
fifo\[11\]\[3\],11.56
_0124_,11.525
fifo\[9\]\[0\],11.52
_0466_,11.46
_0276_,11.34
fifo\[9\]\[4\],11.34
_0296_,11.32
fifo\[10\]\[5\],11.32
error,11.24
fifo\[3\]\[0\],11.22
_0186_,11.18
fifo\[13\]\[4\],11.1
fifo\[9\]\[1\],11.08
net51,11.02
fifo\[3\]\[5\],11
fifo\[15\]\[5\],10.965
_0242_,10.92
_0215_,10.74
_0429_,10.74
fifo\[8\]\[2\],10.74
_0421_,10.72
fifo\[6\]\[2\],10.665
_0270_,10.66
_0057_,10.625
fifo\[0\]\[6\],10.6
_0142_,10.565
_0273_,10.56
_0356_,10.56
_0444_,10.56
_0097_,10.505
_0184_,10.46
_0036_,10.44
_0307_,10.44
_0434_,10.4
_0185_,10.38
fifo\[11\]\[5\],10.38
fifo\[9\]\[3\],10.375
_0265_,10.36
_0280_,10.34
_0059_,10.305
net57,10.3
fifo\[7\]\[5\],10.26
_0359_,10.22
fifo\[5\]\[0\],10.16
_0468_,10.1
_0475_,10.1
data_in[4],10.08
data_in[5],10.08
data_in[6],10.08
push,10.08
net108,10.08
_0312_,10
net17,10
net73,10
_0388_,9.96
_0380_,9.94
_0448_,9.94
fifo\[10\]\[3\],9.92
fifo\[1\]\[3\],9.92
_0383_,9.88
_0445_,9.82
fifo\[8\]\[5\],9.74
fifo\[10\]\[1\],9.7
net134,9.62
fifo\[0\]\[3\],9.46
_0271_,9.44
_0253_,9.4
_0245_,9.36
_0451_,9.34
_0293_,9.32
_0456_,9.32
fifo\[9\]\[2\],9.32
_0056_,9.315
_0073_,9.285
_0353_,9.22
net160,9.18
_0252_,9.16
fifo\[13\]\[3\],9.14
_0188_,9.12
fifo\[3\]\[2\],9.12
fifo\[7\]\[7\],9.04
_0485_,9.02
fifo\[2\]\[3\],9
fifo\[2\]\[6\],9
_0014_,8.97
_0301_,8.96
data_out[0],8.96
fifo\[13\]\[2\],8.96
full,8.96
fifo\[0\]\[7\],8.94
fifo\[4\]\[5\],8.9
_0221_,8.88
fifo\[12\]\[2\],8.88
_0130_,8.865
_0336_,8.82
net121,8.76
_0294_,8.74
fifo\[15\]\[4\],8.705
net94,8.68
_0161_,8.665
_0111_,8.625
_0329_,8.6
fifo\[13\]\[7\],8.6
_0360_,8.56
fifo\[6\]\[5\],8.535
_0373_,8.52
_0442_,8.52
_0392_,8.48
net155,8.48
data_out[4],8.47
_0370_,8.44
_0401_,8.44
_0426_,8.44
_0443_,8.44
fifo\[12\]\[5\],8.44
net79,8.34
head\[4\],8.32
fifo\[6\]\[0\],8.315
_0269_,8.26
_0006_,8.18
_0248_,8.16
_0366_,8.1
_0413_,8.1
_0417_,8.1
_0472_,8.1
fifo\[6\]\[3\],8.08
_0349_,8.02
_0463_,8.02
_0264_,8
_0338_,7.98
_0341_,7.98
_0478_,7.98
net85,7.94
net100,7.84
_0013_,7.82
_0132_,7.805
_0393_,7.76
_0462_,7.74
_0381_,7.68
_0422_,7.68
net98,7.68
net158,7.68
fifo\[12\]\[1\],7.66
_0120_,7.645
fifo\[9\]\[5\],7.62
_0165_,7.605
_0404_,7.6
net104,7.6
data_out[2],7.58
data_out[5],7.58
net161,7.56
fifo\[6\]\[1\],7.525
_0342_,7.52
net61,7.52
_0055_,7.42
_0025_,7.4
_0070_,7.365
fifo\[11\]\[4\],7.28
_0019_,7.26
fifo\[13\]\[0\],7.22
_0258_,7.18
_0195_,7.1
_0230_,7.1
_0263_,7.1
net66,7.1
_0371_,7.06
_0010_,7.03
_0134_,7.015
_0148_,6.925
_0229_,6.76
fifo\[13\]\[5\],6.76
fifo\[8\]\[7\],6.76
_0052_,6.745
fifo\[0\]\[0\],6.74
fifo\[8\]\[6\],6.72
_0343_,6.64
_0390_,6.64
_0418_,6.64
_0447_,6.64
fifo\[8\]\[1\],6.64
net153,6.64
_0092_,6.625
_0407_,6.6
_0477_,6.6
_0484_,6.6
net96,6.6
_0385_,6.52
net45,6.5
net56,6.5
_0108_,6.42
fifo\[2\]\[1\],6.38
_0458_,6.3
_0474_,6.3
_0483_,6.3
fifo\[0\]\[5\],6.28
_0405_,6.26
_0396_,6.18
fifo\[2\]\[0\],6.18
_0207_,6.14
_0331_,6.14
_0372_,6.14
_0424_,6.14
_0452_,6.14
net88,6.08
_0037_,6.06
_0428_,6.06
net157,6.04
_0078_,5.96
_0298_,5.84
_0378_,5.84
_0446_,5.84
_0241_,5.8
_0323_,5.8
_0454_,5.8
data_out[3],5.75
_0397_,5.74
_0414_,5.74
fifo\[0\]\[1\],5.74
_0325_,5.72
_0340_,5.72
_0362_,5.72
_0386_,5.72
fifo\[12\]\[3\],5.72
fifo\[14\]\[3\],5.72
net42,5.72
_0042_,5.705
_0091_,5.705
_0284_,5.68
_0461_,5.68
data_out[7],5.63
_0016_,5.61
_0133_,5.605
_0030_,5.5
_0058_,5.445
_0155_,5.445
data_in[7],5.41
data_out[6],5.41
_0479_,5.38
_0083_,5.345
_0436_,5.34
_0467_,5.34
_0049_,5.305
data_in[3],5.29
_0069_,5.265
_0246_,5.26
_0355_,5.26
_0403_,5.26
_0409_,5.26
_0438_,5.26
fifo\[0\]\[4\],5.26
fifo\[8\]\[0\],5.26
net31,5.26
net87,5.26
_0412_,5.22
_0457_,5.22
net53,5.22
net28,5.16
net97,5.16
_0240_,5.12
_0060_,5.095
_0123_,5.085
_0034_,5.06
_0064_,5.045
_0327_,4.92
_0374_,4.92
_0110_,4.895
_0455_,4.88
_0471_,4.88
_0135_,4.855
_0187_,4.8
_0377_,4.8
_0402_,4.8
fifo\[14\]\[5\],4.8
net32,4.8
net44,4.8
_0352_,4.76
_0394_,4.76
_0048_,4.755
net48,4.7
net70,4.7
net102,4.7
net129,4.7
net136,4.66
pop,4.61
rst,4.61
_0166_,4.6
_0126_,4.585
_0022_,4.58
net72,4.58
_0027_,4.54
_0114_,4.525
_0224_,4.48
_0305_,4.48
_0029_,4.46
_0321_,4.46
_0453_,4.46
_0464_,4.46
_0473_,4.46
_0081_,4.435
_0061_,4.425
_0335_,4.42
_0415_,4.42
_0427_,4.42
_0077_,4.385
_0275_,4.36
_0351_,4.36
_0250_,4.34
_0433_,4.34
net63,4.34
net83,4.34
data_in[2],4.27
_0157_,4.265
_0153_,4.26
_0031_,4.24
_0071_,4.24
net71,4.24
net140,4.24
_0020_,4.22
_0222_,4.22
net50,4.2
net54,4.12
net103,4.12
_0368_,4.08
_0345_,4
_0382_,4
_0411_,4
data_in[0],3.93
_0112_,3.925
_0122_,3.925
_0437_,3.9
_0282_,3.88
_0476_,3.88
fifo\[11\]\[1\],3.88
_0163_,3.805
_0147_,3.78
net33,3.78
net39,3.78
net64,3.78
net105,3.78
_0168_,3.76
net133,3.74
net142,3.74
_0039_,3.705
_0041_,3.705
_0044_,3.705
_0106_,3.705
net143,3.68
net154,3.68
_0017_,3.61
_0000_,3.54
_0289_,3.54
fifo\[9\]\[7\],3.54
_0082_,3.465
_0146_,3.465
_0051_,3.44
_0354_,3.44
_0465_,3.44
_0482_,3.44
_0262_,3.42
_0310_,3.42
_0357_,3.42
_0391_,3.42
net40,3.32
net46,3.32
net62,3.32
net69,3.32
net162,3.32
net60,3.3
_0117_,3.245
_0137_,3.245
_0035_,3.22
net115,3.22
net138,3.22
net148,3.22
net159,3.22
_0043_,3.175
_0075_,3.175
_0139_,3.175
_0067_,3.165
_0116_,3.125
_0236_,3.1
_0277_,3.08
_0364_,3.08
_0423_,3.08
_0487_,3.08
_0063_,3.045
_0072_,3.005
_0339_,2.98
_0350_,2.98
_0254_,2.96
_0308_,2.96
_0344_,2.96
_0416_,2.96
net139,2.96
_0164_,2.945
_0087_,2.885
_0103_,2.885
_0125_,2.88
_0144_,2.86
_0204_,2.86
net29,2.86
net93,2.86
net78,2.84
_0098_,2.785
_0099_,2.785
_0100_,2.785
_0118_,2.785
net77,2.76
net81,2.76
net107,2.76
net117,2.76
net122,2.76
net130,2.76
_0093_,2.715
_0140_,2.715
_0156_,2.715
_0009_,2.69
_0295_,2.64
net82,2.64
_0024_,2.62
_0177_,2.62
_0260_,2.62
_0398_,2.62
_0400_,2.62
_0046_,2.595
_0085_,2.595
_0090_,2.595
_0107_,2.595
_0119_,2.595
_0047_,2.585
_0095_,2.545
_0105_,2.545
_0109_,2.545
_0113_,2.545
_0128_,2.545
_0197_,2.52
_0406_,2.52
_0425_,2.52
_0431_,2.52
net67,2.5
_0040_,2.485
_0080_,2.485
_0102_,2.485
_0115_,2.485
_0121_,2.485
_0131_,2.485
_0158_,2.425
_0065_,2.42
_0088_,2.42
_0129_,2.42
_0152_,2.42
net68,2.4
net90,2.4
net120,2.4
_0011_,2.38
_0012_,2.38
_0045_,2.325
_0076_,2.325
_0127_,2.325
_0167_,2.3
_0247_,2.3
net30,2.3
net35,2.3
net36,2.3
net38,2.3
net41,2.3
net49,2.3
net52,2.3
net55,2.3
net58,2.3
net59,2.3
net74,2.3
net75,2.3
net76,2.3
net84,2.3
net86,2.3
net91,2.3
net95,2.3
net101,2.3
net109,2.3
net110,2.3
net111,2.3
net112,2.3
net113,2.3
net114,2.3
net116,2.3
net125,2.3
net126,2.3
net127,2.3
net128,2.3
net131,2.3
net132,2.3
net135,2.3
net141,2.3
net145,2.3
net146,2.3
net147,2.3
net149,2.3
net152,2.3
_0023_,2.28
_0159_,2.26
_0053_,2.255
_0101_,2.255
_0005_,2.23
_0021_,2.18
_0026_,2.18
_0028_,2.16
_0162_,2.125
_0066_,2.085
_0238_,2.06
_0306_,2.06
_0015_,2.04
_0174_,2.04
_0182_,2.04
_0234_,2.04
_0286_,2.04
_0311_,2.04
_0488_,2.04
net89,2.04
net99,2.04
_0038_,2.025
_0054_,2.025
_0062_,2.025
_0074_,2.025
_0079_,2.025
_0086_,2.025
_0089_,2.025
_0104_,2.025
_0136_,2.025
_0143_,2.025
_0149_,2.025
_0154_,2.025
_0169_,1.94
net34,1.94
net47,1.94
net92,1.94
net106,1.94
net118,1.94
net123,1.94
net124,1.94
net144,1.94
net150,1.94
_0150_,1.915
_0068_,1.865
_0096_,1.865
_0141_,1.865
_0151_,1.865
_0160_,1.865
_0218_,1.84
_0272_,1.84
net156,1.84
_0002_,1.82
_0018_,1.82
_0033_,1.82
_0319_,1.82
_0003_,1.75
_0226_,1.6
_0333_,1.6
_0363_,1.6
_0375_,1.6
_0441_,1.6
_0094_,1.575
_0138_,1.575
net37,1.48
net119,1.48
net137,1.48
_0004_,1.36
_0007_,1.36
_0008_,1.36
_0274_,1.14
_0365_,1.14
_0376_,1.14
_0432_,1.14
_0435_,1.14
_0481_,1.14
_0486_,1.14
_0228_,1.02
net43,1.02
